result_id,role,dataset,endpoint,contrast,biomarker,estimate_type,estimate,lower_ci,upper_ci,p_value,n,events,source_file,allowed_manuscript_claim,notes
R1_IM150_Cox,Primary discovery — Cox interaction,IMmotion150 (V5.5 frozen),PFS,AtezoBev vs Sunitinib,Teff5 (continuous z),HR_int,0.521,0.351,0.774,0.001249,177,113,output/39_v55_independent_primary_cox.csv,Frozen Teff5 significantly modified AtezoBev vs Sunitinib PFS benefit in IMmotion150.,Primary endpoint; primary contrast; primary biomarker.
R2_IM150_RMST24,Primary discovery — RMST τ=24 in Teff-high,IMmotion150 (V5.5 frozen),PFS,AtezoBev vs Sunitinib (Teff-high),Teff-high (above median),RMST difference (months),+4.61,1.01,8.50,NA,89 (46 AtezoBev / 43 Sun),NA,output/40_v55_independent_rmst.csv,"In Teff-high IMmotion150 patients, 24-month PFS RMST is approximately 4.6 months longer with AtezoBev vs Sunitinib (bootstrap 95% CI 1.0–8.5).",Clinical-magnitude readout in the Teff-high subgroup.
R3_IM150_Perm,Primary discovery — permutation falsification,IMmotion150 (V5.5 frozen),PFS,AtezoBev vs Sunitinib,Teff5 (continuous z),Empirical p (permuted trt),0.0012,NA,NA,0.0012,177,113,output/41_v55_independent_permutation.csv,The frozen Teff5 interaction p-value is concordant under treatment permutation (B=5000).,Two-sided empirical p.
R4_IM150_NegCtrl10k,Primary discovery — random-signature negative control,IMmotion150 (V5.5 frozen),PFS,AtezoBev vs Sunitinib,"random 5-gene signatures (R=10,000)",Specificity empirical p,0.0019,NA,NA,0.0019,177,113,output/43_v55_negative_control_summary.csv,"Only 18 of 10,000 random 5-gene signatures yield an interaction p-value as small or smaller than the frozen Teff5 (specificity empirical p = 0.0019).",V5.5 corrected negative-control value. Do not use older V5 4/1000.
R5_JAVELIN_Cox,Primary external validation — Cox interaction,JAVELIN Renal 101 (Gate1.5 lock),PFS (PFS_P),Avelumab+Axitinib vs Sunitinib,Teff5 (continuous z),HR_int,0.777,0.601,1.004,0.0536,726,358,output_v6_gate15/05_javelin_primary_cox_lock.csv,JAVELIN showed directionally consistent external support for the frozen Teff5 interaction; the Cox interaction Wald p-value did NOT reach statistical significance.,Do NOT call this significant.
R6_JAVELIN_RMST24,Primary external validation — RMST τ=24 in Teff-high,JAVELIN Renal 101 (Gate1.5 lock),PFS (PFS_P),Avelumab+Axitinib vs Sunitinib (Teff-high),Teff-high (above median),RMST difference (months),+3.83,1.64,5.90,bootstrap Pr(>0)=0.999,363 (170 IO / 193 Sun),NA,output_v6_gate15/07_javelin_rmst_bootstrap_lock.csv,"In Teff-high JAVELIN patients, 24-month PFS RMST is approximately 3.8 months longer with Avelumab+Axitinib vs Sunitinib (bootstrap 95% CI 1.6–5.9).",Positive RMST absolute-benefit signal supports directional consistency.
R7_JAVELIN_NegCtrl10k,Primary external validation — random-signature negative control,JAVELIN Renal 101 (Gate1.5 lock),PFS,Avelumab+Axitinib vs Sunitinib,"random 5-gene signatures (R=10,000)",Specificity empirical p,0.262,NA,NA,0.262,726,358,output_v6_gate15/10_javelin_negative_control_summary.csv,"JAVELIN negative-control specificity is weaker than IMmotion150, consistent with the more attenuated JAVELIN Cox interaction.",Reported transparently.
R8_Meta_FE,Comparable two-trial meta — fixed-effect,IMmotion150 + JAVELIN,PFS,IO-combo vs Sunitinib,Teff5 (continuous z),Pooled HR_int (FE),0.690,0.556,0.856,0.000729,903 patients,471,output_v6_gate15/16_corrected_comparable_meta.csv,IMmotion150 + JAVELIN comparable fixed-effect synthesis supports a pooled HR_int < 1 (p < 0.001).,"Q=2.758, I²=63.7%, τ²=0.0508."
R9_Meta_RE,Comparable two-trial meta — random-effects,IMmotion150 + JAVELIN,PFS,IO-combo vs Sunitinib,Teff5 (continuous z),"Pooled HR_int (RE, DerSimonian–Laird)",0.655,0.445,0.965,0.0323,903 patients,471,output_v6_gate15/16_corrected_comparable_meta.csv,"Random-effects synthesis remains <1, with a wider CI reflecting between-trial heterogeneity.",Random-effects appropriate given I²=63.7%.
R10_Bayes_FE,Bayesian synthesis — fixed-effect anchor,IMmotion150 + JAVELIN,PFS,IO-combo vs Sunitinib,Teff5 (continuous z),Posterior Pr(HR<1),0.9995–0.9996,NA,NA,NA,903 patients,471,output_v7/13_bayesian_synthesis_summary.md,"Bayesian synthesis with weakly informative, moderate, and strong skeptical priors all give posterior Pr(HR_int<1) ≈ 0.9995–0.9996 anchored on the FE estimate.",Sensitivity to three priors reported.
